[19-May-2024 20:32:11 Asia/Calcutta] PHP Warning:  Array to string conversion in C:\xampp\htdocs\roofnassets\app\emails\compose\sending\index.php on line 155
[19-May-2024 20:32:35 Asia/Calcutta] PHP Warning:  Array to string conversion in C:\xampp\htdocs\roofnassets\app\emails\compose\sending\index.php on line 155
[19-May-2024 20:32:38 Asia/Calcutta] PHP Fatal error:  Uncaught PHPMailer\PHPMailer\Exception: Invalid address:  (From):  in C:\xampp\htdocs\roofnassets\acm\SysModules\MAIL_Modules\vendor\phpmailer\phpmailer\src\PHPMailer.php:1324
Stack trace:
#0 C:\xampp\htdocs\roofnassets\acm\SysModules\MAIL_Modules\Mail.php(35): PHPMailer\PHPMailer\PHPMailer->setFrom('', 'ROOF N ASSETS I...')
#1 C:\xampp\htdocs\roofnassets\app\emails\compose\sending\sender.php(21): SENDMAILS('TEST_MAIL_1', 'Dear, Roof And ...', '4', 'TEST MAIL Send ...', 'gauravsinghigc@...')
#2 {main}
  thrown in C:\xampp\htdocs\roofnassets\acm\SysModules\MAIL_Modules\vendor\phpmailer\phpmailer\src\PHPMailer.php on line 1324
[19-May-2024 20:34:45 Asia/Calcutta] PHP Fatal error:  Uncaught PHPMailer\PHPMailer\Exception: Invalid address:  (From):  in C:\xampp\htdocs\roofnassets\acm\SysModules\MAIL_Modules\vendor\phpmailer\phpmailer\src\PHPMailer.php:1324
Stack trace:
#0 C:\xampp\htdocs\roofnassets\acm\SysModules\MAIL_Modules\Mail.php(35): PHPMailer\PHPMailer\PHPMailer->setFrom('')
#1 C:\xampp\htdocs\roofnassets\app\emails\compose\sending\sender.php(21): SENDMAILS('TEST_MAIL_1', 'Dear, Roof And ...', '4', 'TEST MAIL Send ...', 'gauravsinghigc@...')
#2 {main}
  thrown in C:\xampp\htdocs\roofnassets\acm\SysModules\MAIL_Modules\vendor\phpmailer\phpmailer\src\PHPMailer.php on line 1324
[19-May-2024 20:37:23 Asia/Calcutta] PHP Fatal error:  Uncaught PHPMailer\PHPMailer\Exception: Invalid address:  (From):  in C:\xampp\htdocs\roofnassets\acm\SysModules\MAIL_Modules\vendor\phpmailer\phpmailer\src\PHPMailer.php:1324
Stack trace:
#0 C:\xampp\htdocs\roofnassets\acm\SysModules\MAIL_Modules\Mail.php(35): PHPMailer\PHPMailer\PHPMailer->setFrom('')
#1 C:\xampp\htdocs\roofnassets\app\emails\compose\sending\sender.php(21): SENDMAILS('TEST_MAIL_1', 'Dear, Roof And ...', 'gauravsinghigc@...', 'TEST MAIL Send ...', 'gauravsinghigc@...')
#2 {main}
  thrown in C:\xampp\htdocs\roofnassets\acm\SysModules\MAIL_Modules\vendor\phpmailer\phpmailer\src\PHPMailer.php on line 1324
[19-May-2024 20:51:11 Asia/Calcutta] PHP Warning:  Array to string conversion in C:\xampp\htdocs\roofnassets\app\emails\compose\sending\index.php on line 155
[19-May-2024 20:54:58 Asia/Calcutta] PHP Warning:  Array to string conversion in C:\xampp\htdocs\roofnassets\app\emails\compose\sending\index.php on line 155
[19-May-2024 20:56:02 Asia/Calcutta] PHP Warning:  Undefined variable $UserEmailId in C:\xampp\htdocs\roofnassets\app\emails\compose\sending\sender.php on line 19
[19-May-2024 20:56:02 Asia/Calcutta] PHP Warning:  Undefined variable $UserEmailId in C:\xampp\htdocs\roofnassets\app\emails\compose\sending\sender.php on line 19
